chrom,tag,estimated_somies,measured_somies
1,inf,1,1.171
1,tar,3,2.971
2,inf,3,3.2
2,tar,1,1.029
3,inf,1,1.229
3,tar,1,1.086
4,inf,2,2.143
4,tar,2,1.8
5,inf,3,3.371
5,tar,1,1.057
6,inf,2,2.343
6,tar,2,2.114
7,inf,2,2.229
7,tar,1,1.114
8,inf,2,2.2
8,tar,2,2.086
9,inf,2,2.114
9,tar,2,2.057
10,inf,1,1.086
10,tar,1,0.943
11,inf,1,1.286
11,tar,2,2.086
12,inf,2,2.457
12,tar,1,1.029
13,inf,2,2.371
13,tar,2,2.086
14,inf,2,2.143
14,tar,2,2.057
15,inf,1,1.2
15,tar,2,2.086
16,inf,2,2.2
16,tar,2,2.114
17,inf,1,1.171
17,tar,2,2.114
18,inf,1,1.2
18,tar,2,2.057
19,inf,1,1.171
19,tar,2,2.057
20,inf,3,3.271
20,tar,2,2.057
21,inf,2,2.171
21,tar,1,1.086
22,inf,1,0.971
22,tar,2,2.143
23,inf,3,3.286
23,tar,2,2.086
24,inf,2,2.114
24,tar,2,2.114
25,inf,1,1.086
25,tar,3,3.114
26,inf,3,3.257
26,tar,1,1.086
27,inf,2,2.2
27,tar,2,1.971
28,inf,1,1.086
28,tar,2,2.114
29,inf,1,1.114
29,tar,4,3.857
30,inf,2,2.114
30,tar,2,2.0
31,inf,3,3.229
31,tar,4,3.886
32,inf,1,1.143
32,tar,2,2.0
33,inf,2,2.286
33,tar,2,2.0
34,inf,1,1.143
34,tar,2,2.0
35,inf,1,1.057
35,tar,2,2.0
36,inf,2,2.257
36,tar,2,2.0
